uid;country;joined_at;paid_at;revenue;payment_id;from_page;product_type
891266616;Argentina;2017-06-11 15:25:00;2017-10-11 17:35:00;6305;19;autorefill;coins
892186737;Chile;2017-10-19 06:03:00;2017-04-11 08:53:00;4732;147;promo_09;premium_no_trial
891959004;United States of America;2017-10-24 00:12:00;2017-10-31 02:12:00;10153;147;trial_vip_popup;trial_premium
892115478;Spain;2017-10-20 20:39:00;2017-10-26 06:26:00;2366;67;empty_likes;other_type
891592941;Switzerland;2017-10-31 12:40:00;2017-03-11 16:25:00;6292;147;promo_09;premium_no_trial
892245918;France;2017-10-17 21:05:00;2017-10-17 22:35:00;6292;147;autoreply_message;premium_no_trial
891862596;Italy;2017-10-26 01:40:00;2017-10-30 09:01:00;1261;19;empty_likes;coins
891267564;Portugal;2017-06-11 15:06:00;2017-07-11 13:54:00;1482;68;none;premium_no_trial
892395564;United States of America;2017-10-14 23:30:00;2017-10-14 23:32:00;2730;67;empty_likes;other_type
892080081;Switzerland;2017-10-21 15:15:00;2017-10-22 16:37:00;4758;147;autoreply_message;premium_no_trial
892128138;Argentina;2017-10-20 14:49:00;2017-11-15 02:15:00;1261;19;menu;coins
892230228;United States of America;2017-10-18 06:29:00;2017-10-22 19:16:00;6292;147;promo_09;premium_no_trial
892318245;United Kingdom (Great Britain);2017-10-16 11:26:00;2017-10-17 11:52:00;3783;67;empty_likes;other_type
892139829;United Kingdom (Great Britain);2017-10-20 08:38:00;2017-10-20 08:41:00;5135;147;autoreply_message;premium_no_trial
891655107;United States of America;2017-10-30 05:06:00;2017-08-11 19:12:00;9087;147;trial_vip_popup;trial_premium
892230228;United States of America;2017-10-18 06:29:00;2017-10-22 08:23:00;3783;67;empty_likes;other_type
891553092;Chile;2017-01-11 08:36:00;2017-03-11 19:07:00;6292;147;promo_09;premium_no_trial
892318245;United Kingdom (Great Britain);2017-10-16 11:26:00;2017-10-19 18:34:00;6305;19;autorefill;coins
891772902;Spain;2017-10-27 23:39:00;2017-10-29 10:39:00;6370;147;left_sidebar_menu;premium_no_trial
891606141;United States of America;2017-10-31 04:43:00;2017-03-11 21:14:00;3783;67;empty_likes;other_type
891609360;Italy;2017-10-31 02:07:00;2017-01-11 23:19:00;3913;146;empty_likes;coins
891333651;France;2017-05-11 16:32:00;2017-09-11 15:34:00;728;146;empty_likes;coins
892307238;Spain;2017-10-16 16:01:00;2017-10-16 20:41:00;63037;147;left_sidebar_menu;premium_no_trial
891637005;Spain;2017-10-30 15:22:00;2017-10-30 16:18:00;1261;19;autorefill;coins
891805089;Italy;2017-10-27 09:35:00;2017-10-31 11:52:00;3913;19;empty_likes;coins
891897387;Australia;2017-10-25 10:44:00;2017-02-11 12:44:00;13208;147;trial_vip_popup;trial_premium
891308457;Belgium;2017-05-11 22:28:00;2017-06-11 14:40:00;2314;67;empty_likes;other_type
891805089;Italy;2017-10-27 09:35:00;2017-10-29 15:26:00;728;19;empty_likes;coins
892115478;Spain;2017-10-20 20:39:00;2017-10-20 20:43:00;6474;147;left_sidebar_menu;premium_no_trial
892435536;United States of America;2017-10-14 02:54:00;2017-10-14 02:57:00;4537;147;dating;premium_no_trial
891637005;Spain;2017-10-30 15:22:00;2017-02-11 13:48:00;3783;67;gifts;other_type
891841425;Chile;2017-10-26 14:51:00;2017-10-31 15:20:00;3783;67;empty_likes;other_type
891805089;Italy;2017-10-27 09:35:00;2017-10-29 15:26:00;728;146;empty_likes;coins
