uid;age;attraction_coeff;coins;country;visit_days;gender;age_filter_start;age_filter_end;views_count;was_premium;is_premium;total_revenue
892035504;37;137;;Israel;1,2,3,4,5,6,7,8,9,11,13;1;30;40;51;;;0
891782112;57;0;;Italy;1;1;54;60;0;;;0
891110337;30;769;;France;1,2,3,4,5;1;27;33;13;;;0
891796320;48;750;;France;1,4,6,8,10,11,12,14,15,16,18;1;45;51;12;;;0
891880212;54;638;;United States of America;1;1;35;53;94;;;0
892197879;28;71;;Italy;1;1;25;31;14;;;2522
891176307;24;1000;;Chile;;1;18;23;2;;;0
892176582;16;0;;Italy;;1;16;20;0;;;0
891083379;22;555;;Spain;1;1;19;25;9;;;0
891967353;25;705;;United Arab Emirates;2,4,6,8,9,10,11,13,14,15,17,19,21,22;1;22;37;34;;;0
891294564;19;0;;United States of America;1,2;1;16;22;1;;;0
891603021;42;400;;United States of America;;1;19;58;10;;;0
891951492;37;0;;Chile;1,3,4,6,7,8,9,11,12,13,14,16,17,19;1;34;40;0;;;0
891903993;42;539;;United States of America;1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;0;39;45;984;;;0
891395364;41;0;;United States of America;1,2,3,4,7,8;1;38;44;0;;;0
891818181;25;500;;Italy;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19;1;22;28;2;;;0
892102290;29;312;;Chile;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;26;45;16;;;0
891420276;21;1000;;United States of America;1;1;18;24;2;;;0
891143031;30;0;;Argentina;;1;27;33;9;;;0
891267207;31;500;;Portugal;1,2,3,4,5;1;16;40;2;;;0
892164795;16;0;;France;;1;16;20;0;1.0;1.0;16562
891480204;26;527;;United Arab Emirates;1,2,3,4,5,6,7,8;1;18;99;72;;;0
892072650;40;166;;Spain;1,2,3;1;37;43;6;;;0
891943980;56;79;;France;;1;27;55;88;;;0
891247731;29;750;;Chile;1,2,3;1;26;32;8;;;0
892343331;30;1000;;France;1;1;27;99;1;1.0;;2873
892418745;49;0;;Chile;;1;46;52;0;;;0
891958227;31;365;;United States of America;1,2,3,4,5,7,8,9,11,12,13;1;28;34;63;1.0;;0
891608487;42;450;;United States of America;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;0;45;99;508;;;0
892317273;37;0;;Israel;;1;34;40;0;;;0
891194379;21;0;;Argentina;1;1;18;37;3;;;0
892262052;44;159;;Germany;19,20,23;1;41;47;69;;;0
891607209;58;223;;Italy;1,2,3,5,11;1;30;53;103;;;0
891394506;22;292;;United States of America;;0;19;25;147;;;0
892235217;49;417;;United States of America;1;1;46;52;79;1.0;;0
891244158;35;400;;Chile;;1;32;38;5;;;0
891194280;30;200;;United States of America;7;1;27;33;5;;;0
892050267;46;0;;United States of America;1,2;1;43;49;0;;;0
892439346;16;285;;United States of America;;1;16;23;7;;;0
892222614;42;434;;Italy;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28;1;30;45;191;;;0
891156759;19;0;;United States of America;;1;16;22;1;;;0
892130931;24;0;;Portugal;1,2,3,4,5,6,7,8,9,10;1;21;27;0;;;0
892023429;36;166;;Argentina;1;1;18;42;18;;;0
892352907;30;333;;Belgium;;1;27;90;3;;;0
891842652;21;0;;United States of America;;0;18;30;238;;;0
891599010;46;0;;Italy;1,2;1;16;99;0;;;0
891186015;33;500;;United States of America;;1;30;36;8;;;0
891668253;35;189;14.0;Chile;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17;1;24;38;190;1.0;1.0;20085
891229395;42;307;;Argentina;1;1;39;45;13;;;0
892069857;27;200;;Argentina;1,2;1;16;30;5;;;0
891858987;30;0;;United States of America;10;1;27;33;0;;;0
892359456;24;0;;Portugal;;1;21;27;0;;;0
891293337;34;530;;United States of America;1,2,3,4,5,7;1;31;37;49;1.0;;0
891929619;28;500;;France;1,2,4,6,8,10,11,12,13,14,16,18,20;1;25;31;2;;;0
891638583;40;0;;Spain;1,2,3,5,6,8,9,11,13,14,15;1;37;43;1;;;0
892425369;18;289;;United States of America;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,60;1;15;21;107;;;0
891139236;37;384;;United Arab Emirates;;1;34;40;26;;;0
891850920;21;142;;United Kingdom (Great Britain);;1;18;28;7;;;0
891111540;25;684;;United Arab Emirates;;1;22;28;19;;;0
891533805;18;1000;;United States of America;;1;16;28;2;;;0
892191450;43;307;;France;15,16,17,18,19,20,21,22,23,24,25,26,27;1;40;46;13;;;0
891264549;21;0;;United States of America;1,2,3,4,5,6,8;1;18;24;5;;;0
892135515;30;740;;United States of America;1,2;1;27;33;50;;;0
891801519;32;0;;France;1,2,3,4;1;29;35;0;;;0
891954570;33;58;;Italy;;1;30;36;17;;;0
892041786;29;666;;Argentina;;1;16;44;3;;;0
892363275;39;500;;Germany;;1;36;42;12;1.0;;0
891586590;47;250;;France;1,2,3,4,5,6,7,8,9,10,11,14;1;44;50;12;;;0
891256896;34;653;;United States of America;1,2,5,6;0;45;99;407;;;0
892124745;47;0;;Argentina;;1;44;50;0;;;0
892318245;33;143;32.0;United Kingdom (Great Britain);1,2,3,4;1;24;50;202;1.0;1.0;22685
892021680;40;1000;;Canada;;1;37;43;1;1.0;1.0;9815
892081260;50;272;;France;;1;47;53;11;;;0
891175434;19;0;;United States of America;;1;16;22;0;;;0
891996033;27;166;;Argentina;;1;24;30;6;1.0;;0
892088445;25;0;;United States of America;4,5;1;22;28;0;;;0
892370325;24;166;;Argentina;;1;21;27;6;;;0
892000524;40;0;;Argentina;;1;37;43;0;;;0
892180983;25;430;;United States of America;1,2,3,4,5;0;22;28;804;;;0
891356979;41;390;;United States of America;1,2,4,5,6,8,9,10;1;19;48;41;1.0;;0
891342780;53;1000;;United States of America;1,8;1;51;99;2;;;0
892417224;22;1000;;Portugal;;1;19;25;1;;;0
891257967;73;0;;Argentina;;1;16;76;0;;;0
891903348;16;0;;Italy;;1;16;20;0;;;0
891564420;35;765;;United States of America;1,2,3;1;32;70;47;;;0
891194454;30;700;;Germany;1,2,3,4,5,6,7;1;27;33;20;;;0
891167781;36;0;;Australia;1,3,6;1;33;39;0;;;0
892277433;45;0;;Chile;4,5;1;42;48;0;;;0
891822243;25;0;;France;;1;22;28;0;;;0
891712029;39;500;;United States of America;1,2,3,5,6,7,8;1;36;42;10;;;0
892242963;34;755;;United States of America;1,2,3,4,5,6,7;1;31;37;45;;;0
891296256;44;0;;United States of America;1;1;41;47;0;;;0
891058617;44;666;;Belgium;;1;41;47;3;;;0
891353508;40;0;;Spain;;1;37;43;2;;;0
892031529;27;0;;France;;1;24;30;0;;;0
892434546;21;857;;United States of America;1,2,3,4,5,7,8,10,13;1;16;36;105;;;0
891724416;40;357;;United States of America;1,3,4,5;1;37;43;14;;;0
891768567;39;687;;France;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18;1;36;42;16;;;0
891655644;48;642;;United States of America;1;1;45;51;14;;;0
891605991;34;407;;Germany;1,2;1;16;37;76;;;0
891399006;23;476;;United States of America;1,2,3,4,6,7,8,9,10;1;18;26;42;;;0
891944436;32;313;;United States of America;;0;30;35;322;;;0
892378197;24;0;;Italy;;1;21;27;0;;;0
891315639;28;0;;Italy;1;1;16;43;0;;;0
892066605;39;746;;United States of America;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22;1;16;42;505;1.0;;0
891469824;32;0;;Germany;;1;29;35;7;;;0
891313476;35;1000;;United States of America;1;1;32;38;3;;;0
891178764;17;0;;United States of America;2,3,4,5,6;0;16;99;0;;;0
892094301;28;888;;Argentina;1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,23;1;25;31;54;;;0
891524910;27;333;;Italy;;1;20;30;3;;;0
892275636;37;595;;United States of America;17,18,19,20,21,22,23,24,25,26,27,28;1;27;41;89;;;0
892334679;27;200;;Belgium;1,2,4,5,7,9,10,11,12,13,14;1;24;30;30;1.0;1.0;6461
891958596;19;0;;United States of America;;1;16;22;7;;;0
892141779;44;333;;United States of America;;1;41;47;21;;;0
891640719;41;0;;United States of America;;0;38;44;0;;;0
892046577;28;565;;United States of America;;1;25;31;23;1.0;;0
892218312;23;400;;United States of America;1,2,3;1;20;26;5;;;0
891226062;29;500;;Chile;;1;26;32;2;;;0
892145817;25;152;;United States of America;;0;22;28;491;;;0
892388925;33;300;;Argentina;1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,60;1;20;48;10;;;0
891236517;44;0;;Chile;1;1;41;47;5;;;0
892154772;49;0;;United States of America;;1;46;52;0;;;0
891865740;37;1000;;United States of America;1,2;1;34;40;1;;;0
