uid;country;joined_at;paid_at;revenue;payment_id;from_page;product_type
891319275.0;France;2017-05-11 19:57:00;2017-12-11 21:57:00;12727.0;147.0;trial_vip_popup;trial_premium
892421826.0;Israel;2017-10-14 12:46:00;2017-10-23 12:54:00;14586.0;147.0;trial_vip_popup;trial_premium
891822480.0;Italy;2017-10-26 22:27:00;2017-12-11 20:59:00;1911.0;19.0;none;coins
891367521.0;Italy;2017-05-11 02:37:00;2017-06-11 19:15:00;1456.0;127.0;sympathy;other_type
892207959.0;France;2017-10-18 18:30:00;2017-12-11 12:03:00;1261.0;19.0;empty_likes;coins
891721851.0;United States of America;2017-10-29 02:50:00;2017-05-11 07:15:00;4602.0;146.0;empty_likes;coins
892333905.0;Italy;2017-10-16 01:38:00;2017-10-16 02:08:00;12610.0;19.0;gifts;coins
892207959.0;France;2017-10-18 18:30:00;2017-10-29 03:20:00;3783.0;67.0;empty_likes;other_type
892380396.0;Australia;2017-10-15 09:02:00;2017-10-23 13:27:00;13403.0;147.0;trial_vip_popup;trial_premium
891739737.0;United States of America;2017-10-28 18:50:00;2017-11-14 01:20:00;6305.0;19.0;empty_likes;coins
892210755.0;Chile;2017-10-18 17:18:00;2017-10-25 19:29:00;9971.0;147.0;trial_vip_popup;trial_premium
891716358.0;India;2017-10-29 06:55:00;2017-10-29 23:17:00;4914.0;147.0;dating;premium_no_trial
891792453.0;Australia;2017-10-27 15:37:00;2017-10-27 15:48:00;1313.0;19.0;none;coins
892333905.0;Italy;2017-10-16 01:38:00;2017-10-16 01:44:00;3783.0;67.0;menu;other_type
892277877.0;United States of America;2017-10-17 03:36:00;2017-10-11 15:23:00;897.0;19.0;empty_likes;coins
891131061.0;Chile;2017-09-11 07:04:00;2017-09-11 23:38:00;6292.0;147.0;left_sidebar_menu;premium_no_trial
892405224.0;Israel;2017-10-14 19:57:00;2017-10-17 19:05:00;1261.0;19.0;empty_likes;coins
891254103.0;United Arab Emirates;2017-06-11 19:19:00;2017-10-11 20:48:00;1261.0;19.0;empty_likes;coins
891135642.0;Chile;2017-09-11 03:14:00;2017-10-11 17:55:00;481.0;19.0;none;coins
891320823.0;United States of America;2017-05-11 19:37:00;2017-12-11 18:52:00;6305.0;19.0;autorefill;coins
892366260.0;United Kingdom (Great Britain);2017-10-15 15:04:00;2017-09-11 20:06:00;6305.0;19.0;autorefill;coins
891707061.0;Argentina;2017-10-29 10:54:00;2017-04-11 00:30:00;1261.0;19.0;empty_likes;coins
891365490.0;United States of America;2017-05-11 03:55:00;2017-06-11 00:28:00;1261.0;19.0;empty_likes;coins
891707061.0;Argentina;2017-10-29 10:54:00;2017-10-11 00:04:00;1261.0;19.0;autorefill;coins
892207959.0;France;2017-10-18 18:30:00;2017-01-11 04:39:00;1261.0;19.0;empty_likes;coins
891142386.0;Switzerland;2017-08-11 23:02:00;2017-08-11 23:38:00;4680.0;147.0;left_sidebar_menu;premium_no_trial
891739737.0;United States of America;2017-10-28 18:50:00;2017-12-11 03:25:00;3783.0;67.0;menu;other_type
891937230.0;Canada;2017-10-24 14:17:00;2017-10-25 14:28:00;6305.0;19.0;empty_likes;coins
892333905.0;Italy;2017-10-16 01:38:00;2017-10-16 01:57:00;3783.0;67.0;empty_admins;other_type
892269327.0;United States of America;2017-10-17 10:09:00;2017-10-24 12:10:00;9789.0;147.0;trial_vip_popup;trial_premium
892421277.0;United States of America;2017-10-14 13:05:00;2017-10-15 13:11:00;47723.0;147.0;promo_09;premium_no_trial
891367521.0;Italy;2017-05-11 02:37:00;2017-10-11 01:52:00;1469.0;19.0;sympathy;other_type
891671796.0;Canada;2017-10-29 22:06:00;2017-06-11 00:06:00;9854.0;147.0;trial_vip_popup;trial_premium
891367521.0;Italy;2017-05-11 02:37:00;2017-10-11 01:52:00;1469.0;19.0;coins_popup;other_type
891131061.0;Chile;2017-09-11 07:04:00;2017-10-11 08:55:00;3783.0;67.0;menu;other_type
892207959.0;France;2017-10-18 18:30:00;2017-10-22 04:49:00;1261.0;19.0;empty_likes;coins
891092322.0;Argentina;2017-09-11 22:48:00;2017-10-11 01:18:00;5278.0;147.0;autoreply_message;premium_no_trial
892366260.0;United Kingdom (Great Britain);2017-10-15 15:04:00;2017-10-31 23:37:00;6305.0;19.0;autorefill;coins
891949989.0;United States of America;2017-10-24 06:54:00;2017-10-31 08:54:00;9087.0;147.0;trial_vip_popup;trial_premium
891130164.0;United States of America;2017-09-11 07:37:00;2017-10-11 12:27:00;2730.0;67.0;empty_likes;other_type
891228750.0;Chile;2017-07-11 05:28:00;2017-11-14 07:39:00;13273.0;147.0;autoreply_message;trial_premium
891365169.0;Switzerland;2017-05-11 04:09:00;2017-12-11 06:09:00;9490.0;147.0;trial_vip_popup;trial_premium
892393119.0;Italy;2017-10-15 00:34:00;2017-10-21 13:10:00;1807.0;68.0;none;premium_no_trial
892333905.0;Italy;2017-10-16 01:38:00;2017-10-16 01:58:00;3783.0;67.0;empty_admins;other_type
891225840.0;Australia;2017-07-11 07:18:00;2017-07-11 08:16:00;3588.0;68.0;none;premium_no_trial
891320823.0;United States of America;2017-05-11 19:37:00;2017-05-11 19:42:00;6292.0;147.0;autoreply_message;premium_no_trial
891676365.0;France;2017-10-29 20:43:00;2017-10-29 20:59:00;2717.0;68.0;none;premium_no_trial
892333905.0;Italy;2017-10-16 01:38:00;2017-10-16 01:44:00;3783.0;67.0;menu;other_type
891357177.0;Canada;2017-05-11 09:04:00;2017-12-11 11:05:00;9087.0;147.0;trial_vip_popup;trial_premium
892333905.0;Italy;2017-10-16 01:38:00;2017-10-16 01:42:00;3783.0;67.0;menu;other_type
891693753.0;Turkey;2017-10-29 15:24:00;2017-10-31 11:25:00;1625.0;67.0;empty_likes;other_type
891707061.0;Argentina;2017-10-29 10:54:00;2017-07-11 23:53:00;1261.0;19.0;menu;coins
891259167.0;United States of America;2017-06-11 17:48:00;2017-07-11 11:59:00;3900.0;146.0;empty_likes;coins
891367521.0;Italy;2017-05-11 02:37:00;2017-06-11 17:43:00;1456.0;19.0;sympathy;other_type
891850512.0;Portugal;2017-10-26 10:34:00;2017-02-11 13:43:00;5577.0;147.0;trial_vip_popup;trial_premium
891707061.0;Argentina;2017-10-29 10:54:00;2017-11-11 01:30:00;1261.0;19.0;menu;coins
